area,sex,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Albania,Female,1961,147.28,116.18,89.31,76.11,72.20,60.30,50.98,43.41,37.70,33.97,31.15,23.86,23.81,17.97,14.67,11.18,6.44,3.90,1.94,0.38,0.04
Albania,Male,1961,157.55,125.02,98.75,86.25,81.94,70.50,59.59,43.63,38.57,35.25,28.96,21.28,19.52,13.38,10.69,7.67,4.20,2.27,1.08,0.18,0.02
Albania,Female,1962,151.63,122.24,94.16,77.85,73.50,62.86,52.36,44.82,38.82,34.39,31.89,25.15,23.30,19.13,14.40,11.54,6.64,3.96,1.89,0.43,0.04
Albania,Male,1962,162.48,131.82,104.10,87.86,83.37,73.10,61.43,46.47,38.80,35.96,29.97,22.16,19.38,14.26,10.31,7.90,4.27,2.32,1.05,0.21,0.02
Albania,Female,1963,155.17,128.35,99.58,80.09,74.45,65.50,53.80,46.28,39.97,35.00,32.36,26.71,22.71,20.28,14.24,11.78,6.84,4.02,1.82,0.47,0.04
Albania,Male,1963,166.57,138.72,110.07,90.17,84.41,75.88,63.09,49.51,39.23,36.64,30.86,23.25,19.14,15.22,10.01,8.07,4.35,2.39,1.02,0.24,0.02
Albania,Female,1964,157.70,134.39,105.55,82.94,75.18,68.07,55.39,47.75,41.12,35.86,32.64,28.31,22.35,21.19,14.32,11.89,7.04,4.09,1.75,0.49,0.04
Albania,Male,1964,169.58,145.63,116.46,93.49,85.22,78.61,64.76,52.52,40.05,37.27,31.64,24.45,19.00,16.04,9.90,8.13,4.46,2.46,0.99,0.26,0.02
Albania,Female,1965,159.21,140.17,111.67,86.70,75.91,70.35,57.24,49.18,42.26,36.96,32.84,29.75,22.50,21.61,14.75,11.84,7.27,4.16,1.71,0.50,0.05
Albania,Male,1965,171.48,152.31,123.13,97.89,86.00,81.02,66.66,55.25,41.45,37.80,32.34,25.64,19.15,16.55,10.09,8.03,4.61,2.52,0.98,0.27,0.02
Albania,Female,1966,159.99,145.44,117.85,91.34,76.86,72.18,59.40,50.56,43.46,38.20,33.06,30.89,23.25,21.51,15.53,11.67,7.51,4.23,1.70,0.49,0.05
Albania,Male,1966,172.53,158.55,130.21,103.07,87.00,82.94,68.91,57.55,43.46,38.25,33.03,26.74,19.63,16.69,10.58,7.80,4.77,2.56,0.98,0.28,0.03
Albania,Female,1967,160.66,150.06,124.34,96.46,78.19,73.52,61.82,51.89,44.73,39.50,33.42,31.69,24.49,21.06,16.50,11.48,7.74,4.29,1.71,0.48,0.06
Albania,Male,1967,173.41,164.13,137.63,108.81,88.44,84.35,71.43,59.51,45.95,38.71,33.72,27.70,20.42,16.57,11.26,7.54,4.91,2.59,1.00,0.27,0.03
Albania,Female,1968,161.67,153.75,130.91,102.09,80.14,74.41,64.38,53.24,46.06,40.78,34.01,32.18,26.01,20.56,17.46,11.37,7.90,4.35,1.72,0.46,0.06
Albania,Male,1968,174.65,168.67,145.17,115.10,90.63,85.30,74.09,61.31,48.68,39.30,34.45,28.53,21.41,16.39,12.00,7.34,5.02,2.61,1.03,0.26,0.03
Albania,Female,1969,163.14,156.29,137.50,108.22,82.80,74.94,66.94,54.72,47.44,41.98,34.91,32.45,27.59,20.27,18.21,11.47,7.97,4.42,1.74,0.44,0.07
Albania,Male,1969,176.42,171.98,152.67,121.74,93.94,85.89,76.73,63.11,51.46,40.15,35.21,29.24,22.50,16.31,12.61,7.28,5.05,2.65,1.06,0.26,0.04
Albania,Female,1970,165.01,157.70,143.82,114.50,86.50,75.35,69.31,56.41,48.83,43.10,36.12,32.58,29.02,20.45,18.54,11.84,7.95,4.51,1.75,0.43,0.07
Albania,Male,1970,178.61,174.06,159.84,128.60,98.46,86.35,79.08,65.05,54.10,41.42,35.95,29.88,23.59,16.48,12.98,7.44,4.99,2.71,1.08,0.26,0.04
Albania,Female,1971,167.16,158.27,149.51,120.91,91.14,75.94,71.26,58.37,50.16,44.23,37.51,32.71,30.14,21.18,18.43,12.48,7.85,4.61,1.76,0.42,0.07
Albania,Male,1971,181.11,175.10,166.46,135.85,103.75,86.97,80.97,67.25,56.43,43.19,36.64,30.51,24.59,16.96,13.06,7.82,4.86,2.78,1.09,0.26,0.04
Albania,Female,1972,169.37,158.55,154.41,127.72,96.22,76.94,72.68,60.62,51.45,45.43,38.93,32.99,30.93,22.35,18.04,13.27,7.74,4.70,1.77,0.42,0.07
Albania,Male,1972,183.71,175.77,172.27,143.42,109.51,88.08,82.32,69.66,58.51,45.39,37.31,31.19,25.46,17.71,12.96,8.34,4.72,2.84,1.10,0.26,0.04
Albania,Female,1973,171.33,159.00,158.24,134.72,101.75,78.61,73.56,63.07,52.72,46.71,40.27,33.55,31.40,23.79,17.60,14.05,7.70,4.76,1.78,0.42,0.06
Albania,Male,1973,186.00,176.61,176.84,151.10,115.69,90.01,83.14,72.21,60.47,47.87,38.03,31.96,26.20,18.64,12.81,8.89,4.61,2.87,1.11,0.27,0.04
Albania,Female,1974,173.07,159.77,160.79,141.73,107.70,81.15,73.98,65.59,54.07,48.08,41.43,34.50,31.59,25.29,17.35,14.64,7.78,4.75,1.79,0.42,0.06
Albania,Male,1974,187.96,177.77,180.00,158.67,122.06,93.15,83.52,74.75,62.36,50.50,38.86,32.83,26.82,19.66,12.76,9.36,4.60,2.87,1.12,0.28,0.04
Albania,Female,1975,174.92,160.87,162.05,148.41,113.73,84.85,74.15,68.01,55.59,49.49,42.44,35.81,31.62,26.66,17.48,14.91,8.05,4.69,1.80,0.42,0.06
Albania,Male,1975,189.93,179.24,181.73,165.79,128.49,97.52,83.67,77.03,64.31,53.11,39.95,33.76,27.37,20.69,12.92,9.64,4.72,2.82,1.14,0.28,0.04
Albania,Female,1976,176.71,162.19,162.31,154.33,119.95,89.53,74.45,70.06,57.35,50.86,43.39,37.33,31.62,27.74,18.06,14.82,8.49,4.59,1.82,0.41,0.06
Albania,Male,1976,191.76,180.88,182.23,172.19,135.20,102.62,83.95,78.85,66.41,55.55,41.43,34.64,27.93,21.64,13.31,9.71,4.98,2.73,1.16,0.28,0.04
Albania,Female,1977,177.97,163.50,162.20,159.26,126.60,94.60,75.21,71.53,59.41,52.17,44.40,38.87,31.79,28.50,19.02,14.50,9.01,4.49,1.83,0.40,0.05
Albania,Male,1977,192.99,182.47,182.20,177.55,142.16,108.07,84.72,80.10,68.67,57.81,43.27,35.48,28.57,22.47,13.91,9.65,5.31,2.64,1.17,0.28,0.04
Albania,Female,1978,178.65,164.54,162.14,162.94,133.44,100.00,76.70,72.39,61.72,53.43,45.50,40.26,32.27,28.93,20.19,14.15,9.51,4.43,1.82,0.40,0.05
Albania,Male,1978,193.59,183.64,182.20,181.40,149.18,113.79,86.33,80.74,71.03,59.96,45.38,36.27,29.33,23.17,14.63,9.55,5.66,2.57,1.16,0.28,0.04
Albania,Female,1979,178.80,165.34,162.23,165.16,140.24,105.69,79.14,72.64,64.18,54.72,46.70,41.38,33.18,29.05,21.42,13.95,9.89,4.45,1.78,0.39,0.05
Albania,Male,1979,193.65,184.27,182.40,183.59,155.98,119.48,89.17,80.83,73.38,62.00,47.73,37.06,30.24,23.75,15.42,9.52,5.93,2.54,1.14,0.28,0.04
Albania,Female,1980,178.48,166.15,162.54,165.97,146.53,111.36,82.83,72.49,66.60,56.14,47.97,42.29,34.53,29.01,22.55,14.09,10.08,4.62,1.75,0.39,0.05
Albania,Male,1980,193.40,184.69,182.77,184.20,162.12,125.08,93.24,80.60,75.50,64.02,50.18,37.97,31.26,24.26,16.22,9.65,6.10,2.60,1.10,0.28,0.04
Albania,Female,1981,178.20,166.88,163.03,165.72,151.85,117.09,87.47,72.41,68.64,57.80,49.22,43.10,36.12,28.98,23.48,14.64,10.09,4.92,1.73,0.39,0.05
Albania,Male,1981,193.32,184.78,183.18,183.50,167.32,130.81,97.97,80.43,77.18,66.11,52.55,39.15,32.28,24.81,16.96,9.98,6.13,2.74,1.06,0.28,0.04
Albania,Female,1982,178.70,167.23,163.48,164.95,156.06,123.16,92.37,72.75,70.06,59.79,50.41,43.95,37.70,29.13,24.13,15.50,9.96,5.28,1.73,0.40,0.05
Albania,Male,1982,194.02,184.25,183.34,182.11,171.29,136.66,102.91,80.75,78.25,68.32,54.79,40.64,33.23,25.47,17.59,10.44,6.09,2.91,1.02,0.28,0.04
Albania,Female,1983,180.05,167.28,163.69,164.06,158.90,129.33,97.38,73.86,70.80,62.09,51.53,44.92,39.10,29.62,24.47,16.54,9.82,5.63,1.76,0.41,0.05
Albania,Male,1983,195.55,183.28,182.89,180.60,173.58,142.48,107.88,81.93,78.62,70.61,56.92,42.40,34.08,26.29,18.11,11.01,6.04,3.08,0.99,0.27,0.04
Albania,Female,1984,182.05,167.11,163.67,163.20,160.17,135.34,102.45,75.99,70.77,64.63,52.60,46.01,40.16,30.60,24.51,17.65,9.79,5.91,1.82,0.41,0.05
Albania,Male,1984,197.52,182.11,181.75,179.15,174.09,147.94,112.58,84.34,78.35,72.89,58.90,44.44,34.79,27.34,18.51,11.63,6.03,3.21,0.99,0.26,0.04
Albania,Female,1985,184.34,166.80,163.59,162.51,159.92,140.67,107.30,79.37,70.22,67.17,53.70,47.18,40.90,32.00,24.37,18.68,9.97,6.05,1.93,0.41,0.05
Albania,Male,1985,199.48,180.92,180.26,177.68,172.95,152.55,116.98,87.95,77.65,74.95,60.77,46.67,35.51,28.52,18.85,12.25,6.12,3.26,1.01,0.24,0.03
Albania,Female,1986,186.31,166.71,163.52,161.99,158.53,144.82,112.07,83.64,69.63,69.31,55.00,48.33,41.49,33.62,24.21,19.49,10.39,6.06,2.08,0.40,0.05
Albania,Male,1986,200.99,180.10,178.40,176.09,170.43,155.98,121.36,92.13,76.93,76.54,62.62,48.90,36.37,29.71,19.22,12.82,6.32,3.25,1.06,0.22,0.03
Albania,Female,1987,187.63,167.32,163.21,161.42,156.57,147.63,117.03,87.99,69.41,70.77,56.61,49.39,42.09,35.19,24.21,20.06,11.01,5.98,2.25,0.41,0.05
Albania,Male,1987,201.87,180.08,175.97,174.16,167.16,157.98,125.74,96.29,76.67,77.46,64.50,51.06,37.48,30.84,19.71,13.31,6.61,3.20,1.12,0.21,0.03
Albania,Female,1988,188.33,168.60,162.81,160.60,154.39,148.91,121.97,92.21,69.94,71.39,58.51,50.32,42.79,36.50,24.54,20.38,11.78,5.92,2.40,0.42,0.05
Albania,Male,1988,202.13,180.75,173.27,171.52,163.66,158.17,129.93,100.26,77.26,77.58,66.41,53.11,38.85,31.79,20.37,13.71,6.97,3.15,1.17,0.20,0.03
Albania,Female,1989,188.27,170.23,162.54,159.55,152.17,148.55,126.57,96.26,71.48,71.07,60.67,51.13,43.62,37.38,25.31,20.42,12.59,5.93,2.53,0.45,0.05
Albania,Male,1989,201.62,181.72,170.60,168.08,160.11,156.51,133.61,103.76,79.05,76.95,68.30,54.92,40.54,32.52,21.22,14.00,7.36,3.13,1.19,0.20,0.03
Albania,Female,1990,187.41,171.94,162.44,158.46,150.10,146.76,130.28,99.93,74.23,70.12,62.83,51.93,44.55,37.91,26.45,20.29,13.35,6.07,2.60,0.49,0.05
Albania,Male,1990,200.29,182.68,168.23,164.22,156.50,153.30,136.31,106.75,81.95,75.84,69.95,56.53,42.48,33.14,22.19,14.24,7.74,3.16,1.19,0.21,0.02
Albania,Female,1991,185.70,173.28,162.68,157.38,148.20,144.05,132.73,103.48,77.66,69.20,64.53,52.95,45.43,38.32,27.71,20.13,13.95,6.34,2.61,0.54,0.05
Albania,Male,1991,198.09,183.36,166.50,160.11,152.75,149.00,137.75,109.68,85.26,74.75,71.12,58.10,44.44,33.90,23.13,14.50,8.09,3.24,1.16,0.22,0.02
Albania,Female,1992,183.11,173.98,163.59,156.24,146.16,141.09,133.78,107.34,80.98,68.77,65.52,54.34,46.19,38.81,28.89,20.10,14.38,6.73,2.59,0.58,0.05
Albania,Male,1992,194.79,183.60,165.77,155.75,148.71,144.26,137.74,112.74,88.38,74.24,71.62,59.70,46.33,34.92,24.00,14.86,8.39,3.37,1.13,0.23,0.02
Albania,Female,1993,179.74,174.05,165.01,155.14,143.86,138.16,133.47,111.31,84.06,69.15,65.76,56.04,46.81,39.43,29.83,20.33,14.61,7.18,2.57,0.63,0.05
Albania,Male,1993,190.52,183.31,165.96,151.52,144.22,139.56,136.16,115.74,91.19,74.65,71.41,61.34,48.10,36.22,24.73,15.36,8.64,3.53,1.10,0.23,0.02
Albania,Female,1994,175.98,173.47,166.59,154.26,141.39,135.31,131.95,115.02,86.98,70.47,65.33,57.92,47.39,40.19,30.48,20.89,14.66,7.63,2.59,0.65,0.06
Albania,Male,1994,185.81,182.35,166.74,147.90,139.31,135.04,133.26,118.32,93.57,76.14,70.69,62.94,49.67,37.82,25.37,15.98,8.84,3.71,1.09,0.23,0.02
Albania,Female,1995,172.07,172.18,168.09,153.70,138.87,132.71,129.46,117.89,89.71,72.74,64.65,59.65,48.09,40.98,30.97,21.70,14.59,8.04,2.65,0.66,0.06
Albania,Male,1995,180.96,180.76,167.73,145.12,134.37,130.65,129.38,120.04,95.61,78.53,69.81,64.24,51.13,39.61,26.04,16.66,9.02,3.89,1.10,0.23,0.02
Albania,Female,1996,167.70,170.13,169.04,153.56,136.34,130.29,126.55,119.49,92.66,75.42,64.31,60.79,49.12,41.67,31.50,22.58,14.54,8.37,2.77,0.67,0.07
Albania,Male,1996,175.84,178.30,168.65,143.38,129.64,126.28,124.97,120.58,97.88,81.11,69.24,65.02,52.62,41.37,26.91,17.31,9.23,4.06,1.14,0.22,0.02
Albania,Female,1997,162.21,167.43,169.27,153.97,133.80,127.62,123.81,119.75,96.24,77.77,64.64,61.18,50.60,42.22,32.20,23.36,14.59,8.60,2.93,0.66,0.07
Albania,Male,1997,169.99,174.86,169.35,142.86,125.12,121.76,120.50,119.79,100.54,83.30,69.35,65.15,54.17,42.99,28.05,17.89,9.50,4.20,1.18,0.21,0.02
Albania,Female,1998,155.59,164.13,168.80,154.66,131.38,124.62,121.28,118.93,100.13,79.80,65.80,60.96,52.41,42.65,33.07,23.98,14.81,8.71,3.12,0.65,0.08
Albania,Male,1998,163.31,170.69,169.61,143.40,121.10,117.08,116.28,117.78,103.37,85.15,70.36,64.72,55.81,44.46,29.45,18.41,9.86,4.32,1.24,0.20,0.02
Albania,Female,1999,148.23,160.28,167.69,155.30,129.24,121.41,118.83,117.28,103.90,81.74,67.75,60.36,54.34,43.13,34.07,24.46,15.27,8.73,3.30,0.66,0.08
Albania,Male,1999,156.04,166.06,169.30,144.68,118.03,112.36,112.36,114.89,105.98,86.66,72.34,64.07,57.41,45.78,31.11,18.90,10.29,4.41,1.31,0.20,0.02
Albania,Female,2000,140.23,156.00,166.00,155.63,127.40,118.04,116.58,115.01,106.94,83.69,70.43,59.82,56.04,43.85,35.05,24.91,15.87,8.70,3.46,0.68,0.08
Albania,Male,2000,148.24,161.15,168.47,146.30,116.03,107.89,108.63,111.44,107.86,88.04,75.01,63.55,58.71,47.04,32.90,19.49,10.75,4.51,1.37,0.20,0.02
Albania,Female,2001,131.95,151.15,163.64,155.25,125.85,114.57,114.34,112.68,108.78,86.10,73.30,59.92,57.09,45.03,35.93,25.50,16.51,8.71,3.59,0.71,0.08
Albania,Male,2001,140.25,156.01,166.76,148.03,115.09,103.92,104.94,107.83,108.67,89.90,77.70,63.53,59.50,48.40,34.64,20.30,11.18,4.64,1.42,0.21,0.02
Albania,Female,2002,123.79,145.32,160.85,154.13,124.65,111.12,111.62,110.74,109.38,89.39,75.73,60.85,57.42,46.72,36.69,26.30,17.08,8.78,3.68,0.76,0.08
Albania,Male,2002,132.50,150.39,164.09,149.70,115.35,100.43,101.19,104.43,108.34,92.40,79.94,64.32,59.73,49.92,36.26,21.39,11.56,4.82,1.47,0.23,0.02
Albania,Female,2003,116.23,138.60,157.67,152.54,123.69,107.85,108.48,108.98,109.10,93.09,77.80,62.64,57.24,48.71,37.39,27.26,17.56,8.98,3.74,0.81,0.08
Albania,Male,2003,125.36,144.22,160.82,150.98,116.62,97.56,97.37,101.32,107.04,95.17,81.85,65.97,59.53,51.53,37.77,22.71,11.92,5.04,1.50,0.24,0.02
Albania,Female,2004,109.20,131.42,153.96,150.75,122.92,104.91,105.11,107.24,108.18,96.70,79.83,65.18,56.77,50.74,38.18,28.32,17.95,9.29,3.76,0.86,0.08
Albania,Male,2004,118.70,137.71,157.05,151.79,118.56,95.63,93.57,98.46,105.00,97.77,83.48,68.48,59.17,53.08,39.17,24.23,12.29,5.30,1.54,0.26,0.02
Albania,Female,2005,102.57,124.00,149.80,149.06,122.25,102.34,101.66,105.68,106.68,99.66,81.90,68.35,56.42,52.46,39.27,29.35,18.32,9.68,3.77,0.90,0.09
Albania,Male,2005,112.30,130.96,152.81,152.28,120.85,94.64,90.11,95.77,102.49,99.70,85.07,71.55,58.99,54.33,40.56,25.86,12.74,5.56,1.59,0.27,0.02
Albania,Female,2006,96.68,116.49,145.10,147.41,121.49,100.16,98.34,104.04,105.14,101.54,84.40,71.63,56.65,53.55,40.76,30.30,18.77,10.07,3.81,0.94,0.09
Albania,Male,2006,106.41,124.09,148.27,151.86,123.39,94.44,87.27,93.09,99.89,100.71,87.14,74.51,59.29,55.09,42.03,27.46,13.35,5.79,1.66,0.28,0.02
Albania,Female,2007,91.51,109.40,139.55,145.91,120.78,98.42,95.30,101.76,103.97,102.43,87.71,74.42,57.69,53.99,42.68,31.18,19.36,10.43,3.89,0.97,0.10
Albania,Male,2007,101.07,117.51,143.34,150.41,126.12,95.17,84.99,90.24,97.48,100.84,89.79,76.98,60.33,55.39,43.66,29.06,14.18,6.02,1.77,0.29,0.02
Albania,Female,2008,87.13,103.10,133.34,144.34,120.24,97.19,92.54,99.02,102.88,102.69,91.39,76.83,59.58,53.95,44.83,32.05,20.05,10.73,4.04,1.01,0.11
Albania,Male,2008,96.30,111.57,137.97,148.32,128.59,96.78,83.30,87.26,95.31,100.21,92.75,79.11,62.16,55.35,45.38,30.63,15.19,6.26,1.90,0.30,0.02
Albania,Female,2009,83.83,97.29,126.93,142.38,120.10,96.54,90.12,96.05,101.73,102.39,94.99,79.21,62.24,53.63,46.94,33.04,20.74,10.96,4.22,1.03,0.12
Albania,Male,2009,92.42,106.01,132.34,145.63,130.75,99.07,82.44,84.33,93.41,98.89,95.58,80.98,64.75,55.17,46.99,32.13,16.30,6.50,2.03,0.31,0.02
Albania,Female,2010,81.69,91.94,120.53,140.05,120.63,96.38,88.13,93.01,100.81,101.44,97.97,81.67,65.49,53.43,48.72,34.30,21.37,11.15,4.43,1.06,0.13
Albania,Male,2010,89.62,100.78,126.64,142.34,132.77,101.72,82.34,81.80,91.69,97.14,97.82,82.85,67.80,55.14,48.32,33.62,17.45,6.79,2.14,0.33,0.03
Albania,Female,2011,80.68,87.48,114.17,137.09,121.69,96.63,86.58,90.26,99.75,100.42,100.02,84.52,68.79,53.77,49.95,35.91,21.88,11.35,4.60,1.08,0.14
Albania,Male,2011,87.92,96.18,120.86,138.69,133.90,104.76,82.84,79.96,89.98,95.31,99.31,85.18,70.67,55.53,49.24,35.21,18.58,7.17,2.23,0.35,0.03
Albania,Female,2012,80.59,83.70,108.41,133.19,123.27,97.48,85.54,87.95,97.87,99.79,101.24,88.09,71.56,54.87,50.59,37.84,22.31,11.55,4.73,1.11,0.14
Albania,Male,2012,87.17,92.06,115.41,134.71,134.00,108.15,84.13,78.71,88.01,93.67,100.10,88.07,72.99,56.56,49.74,36.87,19.67,7.63,2.32,0.38,0.03
Albania,Female,2013,80.91,80.70,103.46,128.51,124.81,98.84,85.18,85.94,95.47,99.16,101.96,91.93,73.94,56.85,50.73,39.93,22.75,11.76,4.79,1.15,0.14
Albania,Male,2013,86.96,88.42,110.59,130.20,133.56,111.28,86.23,77.98,85.81,92.31,100.17,91.26,74.95,58.30,49.87,38.54,20.70,8.14,2.40,0.41,0.03
Albania,Female,2014,81.25,78.65,98.59,123.64,125.75,100.77,85.69,84.20,92.82,98.42,101.99,95.63,76.38,59.66,50.46,42.00,23.36,11.97,4.83,1.18,0.15
Albania,Male,2014,86.88,85.51,105.91,125.38,132.48,114.12,89.03,77.95,83.61,91.20,99.37,94.36,76.78,60.75,49.85,40.16,21.73,8.70,2.50,0.43,0.03
Albania,Female,2015,81.22,77.38,93.94,118.71,125.87,103.62,86.59,82.90,90.10,98.02,101.06,98.67,78.93,62.93,50.25,43.84,24.26,12.17,4.87,1.23,0.15
Albania,Male,2015,86.40,83.38,101.34,120.57,130.43,117.15,91.98,78.54,81.78,90.29,97.97,96.91,78.65,63.59,49.92,41.61,22.85,9.30,2.65,0.46,0.03
Albania,Female,2016,80.42,77.12,90.25,113.14,124.97,106.97,87.59,82.07,87.72,97.44,100.02,100.95,81.78,66.02,50.47,45.25,25.49,12.37,4.93,1.27,0.15
Albania,Male,2016,85.22,82.28,97.35,115.44,127.73,119.28,95.09,79.61,80.54,89.37,96.41,98.89,80.88,66.13,50.27,42.78,24.12,9.91,2.85,0.48,0.03
Albania,Female,2017,78.73,77.75,86.91,108.00,122.77,110.48,88.97,81.65,85.72,95.74,99.43,102.57,85.33,68.46,51.39,46.16,27.03,12.59,5.03,1.30,0.16
Albania,Male,2017,83.27,82.07,93.52,110.70,124.52,120.20,98.47,81.32,79.71,87.92,94.94,100.36,83.64,68.10,51.15,43.59,25.52,10.53,3.09,0.51,0.04
Albania,Female,2018,76.18,78.65,84.02,103.84,119.30,113.79,90.75,81.86,83.88,93.44,98.71,103.71,89.10,70.52,53.31,46.47,28.73,12.91,5.15,1.32,0.16
Albania,Male,2018,80.49,82.27,89.87,106.83,120.41,120.80,101.39,83.75,79.27,85.99,93.67,101.07,86.73,69.82,52.69,44.05,27.01,11.17,3.36,0.55,0.04
Albania,Female,2019,73.15,79.56,82.00,99.29,115.50,116.29,93.06,83.03,82.17,90.91,97.89,103.94,92.59,72.84,56.15,46.23,30.45,13.39,5.27,1.34,0.17
Albania,Male,2019,77.32,82.55,86.85,102.78,115.83,120.81,103.94,86.88,79.39,84.02,92.66,100.62,89.73,71.56,54.90,44.26,28.50,11.84,3.63,0.59,0.05
Albania,Female,2020,70.50,79.94,80.44,94.77,111.59,117.43,96.41,84.37,80.85,88.32,97.64,102.82,95.35,75.36,59.31,45.70,31.76,13.79,5.25,1.32,0.17
Albania,Male,2020,74.64,82.24,84.44,98.67,111.34,119.44,106.90,89.92,79.93,82.29,91.82,99.11,92.08,73.35,57.33,44.02,29.42,12.32,3.80,0.64,0.05
Albania,Female,2021,68.62,79.31,79.90,91.29,106.42,117.10,100.19,85.45,79.99,86.01,97.21,101.47,97.37,78.02,62.01,45.22,32.49,14.14,5.12,1.27,0.16
Albania,Male,2021,72.78,81.06,83.14,95.07,106.34,117.18,108.94,92.84,80.82,80.99,90.82,97.19,93.79,75.31,59.29,43.55,29.65,12.62,3.87,0.68,0.05